x_value,y_value,z_value
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
-inf,inf,3.0
inf,inf,2.5
318.7460360829733,490.3316984426921,2.5
328.010555337274,488.8318256554755,2.5
337.2659333005654,487.3484981928602,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
inf,inf,2.5
452.421105950448,425.0887689281808,2.5
451.0960326352828,412.0604551434948,2.5
449.74833722827907,400.05863999987133,2.5
444.4270902730035,386.56626650843526,2.5
443.2262863942226,376.55604503858933,2.5
442.0432152875301,367.1814374853492,2.5
440.8889634404219,358.3581194457099,2.5
439.7729418213595,350.01155826864454,2.5
442.0585300453363,343.0929839673868,2.5
440.94025158730994,335.3036951887031,2.5
439.8884552761769,327.8255438080678,2.5
438.90934253523506,320.6052545032667,2.5
438.0090767368095,313.59270764383496,2.5
480.0790698985876,308.8467174135333,2.5
542.2819519042969,300.0,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
308.87803013847605,297.30687900052726,2.5
308.53926147512834,296.9446033883984,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
379.0215708112675,109.22505202741218,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
